Date,Price
10/29/2019,3631.20752
10/30/2019,3580.890381
10/31/2019,3446.712158
11/1/2019,3421.553467
11/4/2019,3480.256836
11/5/2019,3522.187256
11/6/2019,3455.0979
11/7/2019,3413.167236
11/8/2019,3446.712158
11/11/2019,3438.325684
11/12/2019,3505.415039
11/13/2019,3480.256836
11/14/2019,3396.39502
11/15/2019,3421.553467
11/18/2019,3354.464355
11/19/2019,3371.236572
11/20/2019,3429.939697
11/21/2019,3371.236572
11/22/2019,3396.39502
11/25/2019,3312.533203
11/26/2019,3237.058105
11/27/2019,3253.830566
11/28/2019,3203.513184
11/29/2019,3295.760986
12/2/2019,3312.533203
12/3/2019,3287.375
12/4/2019,3346.077881
12/5/2019,3404.78125
12/6/2019,3438.325684
12/9/2019,3413.167236
12/10/2019,3388.008789
12/11/2019,3396.39502
12/12/2019,3312.533203
12/13/2019,3346.077881
12/16/2019,3329.30542
12/17/2019,3337.692139
12/18/2019,3346.077881
12/19/2019,3270.602783
12/20/2019,3371.236572
12/23/2019,3371.236572
12/26/2019,3354.464355
12/27/2019,3346.077881
12/30/2019,3329.30542
1/2/2020,3278.98877
1/3/2020,3337.692139
1/6/2020,3320.919678
1/7/2020,3304.147217
1/8/2020,3270.602783
1/9/2020,3320.919678
1/10/2020,3337.692139
1/13/2020,3379.622803
1/14/2020,3312.533203
1/15/2020,3253.830566
1/16/2020,3228.671875
1/17/2020,3195.127197
1/20/2020,3195.127197
1/21/2020,3262.216309
1/22/2020,3237.058105
1/23/2020,3253.830566
1/24/2020,3287.375
1/27/2020,3220.285645
1/28/2020,3211.899658
1/29/2020,3270.602783
1/30/2020,3237.058105
1/31/2020,3186.740723
2/3/2020,3136.423828
2/4/2020,3153.196289
2/5/2020,3161.58252
2/6/2020,3153.196289
2/7/2020,3178.354736
2/10/2020,3195.127197
2/11/2020,3178.354736
2/12/2020,3203.513184
2/13/2020,3128.038086
2/14/2020,3052.562256
2/17/2020,3027.403809
2/18/2020,3035.790039
2/19/2020,3035.790039
2/20/2020,3044.17627
2/21/2020,3094.493408
